SNID,Bad Sub,Overmasked,PSF in temp,Marginal at best,Good,Missing,Notes
658965,0,0,1,0,0,0,None
667450,0,0,0,1,0,0,None
625776,0,0,1,0,0,0,None
635672,1,0,0,0,0,0,None
633285,1,0,0,0,0,0,None
634268,0,0,1,0,0,0,None
614787,0,0,1,0,0,0,None
614780,0,0,1,0,0,0,None
658883,0,0,1,0,0,0,None
659861,1,0,0,0,0,0,None
659869,0,0,0,1,0,0,None
625633,1,0,0,0,0,0,None
625985,1,0,0,0,0,0,None
635001,1,0,1,0,0,0,None
665573,1,0,0,0,0,0,None
634841,1,0,0,0,0,0,None
625154,1,0,1,0,0,0,None
635642,1,0,0,0,0,0,None
691417,0,0,0,0,0,1,None
625862,1,0,0,0,0,0,None
635324,1,0,0,0,0,0,None
635323,0,0,0,1,0,0,None
633118,0,0,0,1,0,0,Bad sub on host but transient looks clean
628711,1,0,0,0,0,0,None
628717,1,0,0,0,0,0,None
628719,1,0,0,0,0,0,None
626180,0,0,1,0,0,0,None
627274,1,0,0,0,0,0,None
627279,1,0,0,0,0,0,None
666018,1,0,0,0,0,0,None
673639,1,0,0,0,0,0,None
671804,1,0,0,0,0,0,None
631431,1,0,0,0,0,0,None
628695,1,0,0,0,0,0,None
630280,0,0,1,0,0,0,None
628508,1,0,1,0,0,0,None
624507,1,0,0,0,0,0,None
635083,1,0,0,0,0,0,None
633360,1,0,1,0,0,0,None
663611,1,0,0,0,0,0,None
658682,1,0,1,0,0,0,None
629846,1,0,0,0,0,0,None
628336,1,0,0,0,0,0,None
628337,1,0,0,0,0,0,None
633442,1,0,0,0,0,0,None
635296,1,0,1,0,0,0,None
635292,0,0,0,1,0,0,None
633191,1,0,0,0,0,0,None
630364,1,0,0,0,0,0,None
660385,1,0,0,0,0,0,None
665546,0,0,0,1,0,0,None
629742,1,0,0,0,0,0,None
632698,1,0,0,0,0,0,None
635313,1,0,0,0,0,0,None
629311,1,0,0,0,0,0,None
632860,1,0,0,0,0,0,None
628584,0,0,0,0,1,0,None
665422,0,0,1,0,0,0,None
625049,0,0,1,0,0,0,None
625046,1,0,1,0,0,0,None
634760,1,0,0,0,0,0,None
633930,1,0,0,0,0,0,None
626285,1,0,0,0,0,0,None
626280,1,0,0,0,0,0,None
626604,1,1,0,0,0,0,None
635165,1,0,0,0,0,0,None
626911,0,0,1,0,0,0,None
660233,0,0,0,1,0,0,None
630851,1,0,0,0,0,0,None
630440,1,0,0,0,0,0,None
635452,0,0,0,1,0,0,Really close to a psf
629122,0,0,1,0,0,0,None
627185,1,0,0,0,0,0,None
634114,1,0,0,0,0,0,None
634116,1,0,0,0,0,0,None
635397,1,0,0,0,0,0,None
634257,1,0,0,0,0,0,None
614754,1,0,0,0,0,0,None
624316,1,0,0,0,0,0,None
624317,0,0,0,0,1,0,None
666433,0,0,1,0,0,0,None
631575,0,0,1,0,0,0,None
625959,1,0,0,0,0,0,None
674223,1,0,0,0,0,0,None
614828,0,0,1,0,0,0,None
614827,0,0,0,0,1,0,None
658631,1,0,0,0,0,0,None
627346,1,0,0,0,0,0,None
631413,1,0,0,0,0,0,None
629198,1,0,0,0,0,0,None
660999,0,0,0,1,0,0,None
635566,0,0,0,1,0,0,None
627713,0,0,1,0,0,0,None
626047,1,0,1,0,0,0,None
624537,1,0,1,0,0,0,None
660144,1,0,0,0,0,0,None
627699,1,0,0,0,0,0,None
629580,1,0,0,0,0,0,None
632762,0,0,1,0,0,0,None
625859,1,0,0,0,0,0,None
629112,1,0,0,0,0,0,None
629115,1,0,0,0,0,0,None
628240,0,0,1,0,0,0,None
625246,1,0,0,0,0,0,None
625244,1,0,0,0,0,0,None
664399,1,0,0,0,0,0,None
630184,1,0,0,0,0,0,None
627792,1,0,0,0,0,0,None
629326,1,0,0,0,0,0,None
662118,1,0,0,0,0,0,None
631652,1,0,0,0,0,0,None
670583,1,0,0,0,0,0,None
627616,1,0,0,0,0,0,None
628364,0,0,0,1,0,0,Really close to a psf
625502,1,0,1,0,0,0,None
629282,1,0,0,0,0,0,None
633418,1,0,0,0,0,0,None
669021,0,0,1,0,0,0,None
659623,1,0,0,0,0,0,None
630478,1,0,0,0,0,0,None
626863,1,0,0,0,0,0,None
660167,1,0,0,0,0,0,None
631628,1,0,0,0,0,0,None
630108,1,0,0,0,0,0,None
628464,1,0,0,0,0,0,None
661400,1,0,0,0,0,0,None
634739,1,0,0,0,0,0,None
625967,1,0,0,0,0,0,None
631955,1,0,0,0,0,0,None
632220,0,0,0,1,0,0,None
627489,1,0,0,0,0,0,None
627488,1,0,0,0,0,0,None
626352,1,0,0,0,0,0,None
633515,1,0,0,0,0,0,None
662840,0,0,0,1,0,0,None
672508,1,0,0,0,0,0,None
635553,0,0,1,0,0,0,None
628680,1,0,0,0,0,0,None
627723,1,0,0,0,0,0,None
629610,0,0,0,1,0,0,None
660081,1,0,1,0,0,0,None
626477,0,0,0,1,0,0,None
634821,1,0,0,0,0,0,None
634824,1,0,1,0,0,0,None
628634,0,0,1,0,0,0,None
658661,1,0,0,0,0,0,None
629488,1,0,0,0,0,0,None
628150,1,0,0,0,0,0,None
624819,1,0,0,0,0,0,None
627398,0,0,1,0,0,0,None
694332,0,0,0,0,0,1,None
663219,1,0,0,0,0,0,None
693736,0,0,0,0,0,1,None
626606,0,0,0,1,0,0,None
629128,1,0,0,0,0,0,None
661098,0,0,1,0,0,0,None
634427,0,0,1,0,0,0,None
634426,1,0,0,0,0,0,None
633816,0,1,0,0,0,0,None
658825,1,0,0,0,0,0,None
635716,1,0,0,0,0,0,None
635710,1,0,0,0,0,0,None
635712,1,0,0,0,0,0,None
630970,1,0,0,0,0,0,None
631590,0,0,0,1,0,0,None
689968,1,1,0,0,0,0,None
631623,1,0,0,0,0,0,None
630509,1,0,0,0,0,0,None
667548,1,0,0,0,0,0,None
662522,1,0,0,0,0,0,None
635923,1,0,0,0,0,0,None
628213,1,0,0,0,0,0,None
628210,1,0,0,0,0,0,None
627296,1,0,0,0,0,0,None
658992,0,0,1,0,0,0,None
627432,1,0,0,0,0,0,None
629766,1,0,0,0,0,0,None
629769,1,0,0,0,0,0,None
631321,1,0,0,0,0,0,None
635371,1,0,0,0,0,0,None
633239,0,0,1,0,0,0,None
694802,0,0,0,0,0,1,None
634954,1,0,0,0,0,0,None
632885,1,0,1,0,0,0,None
626520,1,0,0,0,0,0,None
658712,1,0,0,0,0,0,None
629379,1,0,0,0,0,0,None
628020,1,0,0,0,0,0,"Originally thought to be okay, Marcelle and Antonella say no"
628025,1,0,0,0,0,0,None
663323,0,0,1,0,0,0,None
630670,1,0,0,0,0,0,None
614840,1,0,0,0,0,0,None
627646,1,0,0,0,0,0,None
662309,0,0,0,1,0,0,None
629238,1,0,0,0,0,0,None
626931,1,1,0,0,0,0,None
627321,1,0,0,0,0,0,None
635463,1,0,0,0,0,0,None
630165,0,0,1,0,0,0,None
630167,1,0,0,0,0,0,None
629453,1,0,0,0,0,0,None
626308,1,0,0,0,0,0,None
626307,1,0,0,0,0,0,None
626300,1,0,0,0,0,0,None
668879,0,0,1,0,0,0,None
625401,1,0,0,0,0,0,None
658792,1,0,0,0,0,0,None
614773,0,0,1,0,0,0,None
614776,1,0,0,0,0,0,None
627775,0,0,0,1,0,0,None
659852,0,0,0,1,0,0,None
625119,1,0,0,0,0,0,None
623873,1,0,0,0,0,0,None
631231,1,0,0,0,0,0,None
658610,1,0,0,0,0,0,None
626412,1,0,0,0,0,0,None
625290,1,0,0,0,0,0,None
632258,1,0,0,0,0,0,None
624118,1,0,0,0,0,0,None
626653,1,0,0,0,0,0,None
628498,1,0,0,0,0,0,None
665066,1,0,0,0,0,0,None
635501,1,0,0,0,0,0,None
624756,0,1,0,0,0,0,None
658469,1,0,0,0,0,0,None
658816,1,0,0,0,0,0,None
627080,1,0,0,0,0,0,None
626026,1,0,0,0,0,0,None
663540,1,0,0,0,0,0,None
628511,1,0,0,0,0,0,None
627863,1,0,0,0,0,0,None
624518,1,0,0,0,0,0,None
629077,1,0,0,0,0,0,None
629078,1,0,0,0,0,0,None
628308,1,0,0,0,0,0,None
625567,1,0,0,0,0,0,None
635914,1,0,0,0,0,0,None
628222,1,0,0,0,0,0,None
624949,1,0,0,0,0,0,None
624948,1,0,0,0,0,0,None
628915,1,0,0,0,0,0,None
628918,1,0,0,0,0,0,None
626513,1,0,0,0,0,0,None
634181,1,0,0,0,0,0,None
632112,1,0,0,0,0,0,None
632111,1,0,0,0,0,0,None
631833,1,0,0,0,0,0,None
631678,1,0,0,0,0,0,None
632096,1,0,0,0,0,0,None
659075,1,0,0,0,0,0,None
627639,1,0,0,0,0,0,None
627632,1,0,0,0,0,0,None
626275,1,0,0,0,0,0,None
630576,1,0,0,0,0,0,None
634478,1,0,0,0,0,0,None
635177,1,0,0,0,0,0,None
632426,1,0,0,0,0,0,None
630457,1,0,0,0,0,0,None
692444,0,0,0,0,0,1,None
634104,1,0,0,0,0,0,None
624609,0,0,1,0,0,0,None
629237,1,0,0,0,0,0,None
675022,1,0,0,0,0,0,None
658764,1,0,0,0,0,0,None
628071,0,0,1,0,0,0,None
614741,0,0,0,0,1,0,None
667905,1,0,0,0,0,0,None
626934,1,0,0,0,0,0,None
635044,0,0,0,0,1,0,None
625943,1,0,0,0,0,0,None
625949,1,0,0,0,0,0,None
626142,0,0,1,0,0,0,None
659332,1,0,0,0,0,0,None
628133,1,0,0,0,0,0,None
634529,1,0,0,0,0,0,None
670481,0,0,1,0,0,0,None
632245,1,0,0,0,0,0,None
626737,1,0,0,0,0,0,None
629409,1,0,0,0,0,0,None
661031,0,0,1,0,0,0,None
658452,1,0,0,0,0,0,None
658454,1,0,0,0,0,0,None
630799,1,1,0,0,0,0,None
630798,1,0,0,0,0,0,None
630242,1,0,0,0,0,0,None
658844,1,0,0,0,0,0,None
626074,1,1,0,0,0,0,None
634020,0,0,1,0,0,0,None
634808,0,0,1,0,0,0,None
659514,0,0,0,1,0,0,None
666914,0,0,0,0,1,0,None
629292,0,0,1,0,0,0,None
614796,0,0,0,1,0,0,None
625135,0,0,0,1,0,0,None
626539,0,0,0,1,0,0,None
670779,0,0,1,0,0,0,None
634772,1,0,0,0,0,0,None
628631,0,0,0,1,0,0,None
630433,0,0,1,0,0,0,None
635380,0,0,0,0,1,0,None
629425,0,0,1,0,0,0,None
627094,1,0,0,0,0,0,None
626056,0,0,0,1,0,0,None
630540,0,0,1,0,0,0,None
629591,0,0,1,0,0,0,None
660621,0,0,0,1,0,0,None
626761,0,0,0,0,1,0,Something is wrong with the coadding
626269,0,0,1,0,0,0,None
664136,0,0,1,0,0,0,None
625680,1,0,0,0,0,0,None
659146,1,0,0,0,0,0,None
659141,0,0,0,1,0,0,None
627168,0,0,1,0,0,0,None
626163,0,0,0,1,0,0,None
625839,1,0,0,0,0,0,None
628727,0,0,1,0,0,0,None
669533,0,0,1,0,0,0,None
627288,0,0,0,0,1,0,None
627428,0,0,1,0,0,0,None
631874,1,0,0,0,0,0,None
659031,1,0,0,0,0,0,None
627337,0,0,0,0,1,0,None
624157,0,0,1,0,0,0,None
667450,1,0,0,0,0,0,None
659869,0,0,1,0,0,0,None
635323,0,0,0,0,1,0,None
633118,1,0,0,0,0,0,None
635292,0,0,0,0,1,0,None
665546,0,0,0,1,0,0,None
628584,0,0,0,0,1,0,None
660233,0,0,1,0,0,0,None
635452,0,0,1,0,0,0,None
624317,0,0,0,0,1,0,None
614827,0,1,0,0,0,0,None
660999,0,0,1,0,0,0,None
635566,0,0,1,0,0,0,None
628364,0,0,1,0,0,0,None
632220,0,1,0,0,0,0,None
662840,1,0,0,0,0,0,None
629610,0,0,0,0,1,0,None
626477,0,0,0,1,0,0,None
626606,0,0,0,1,0,0,None
631590,0,0,0,1,0,0,None
628020,0,0,0,0,1,0,None
662309,0,0,1,0,0,0,None
627775,1,0,1,0,0,0,None
659852,1,0,0,0,0,0,None
614741,0,0,1,0,0,0,None
635044,0,0,0,0,1,0,None
671111,0,1,0,0,0,0,None
693857,0,0,0,0,0,1,None
668442,0,0,0,1,0,0,None
659360,1,0,0,0,0,0,None
689863,0,0,0,0,0,1,None
634571,1,0,0,0,0,0,None
635226,1,0,0,0,0,0,None
690213,0,0,0,0,0,1,None
670178,0,0,0,1,0,0,None
632892,0,0,0,1,0,0,None
666836,0,1,0,0,0,0,None
659780,0,0,1,0,0,0,None
660284,0,0,0,1,0,0,None
625591,1,0,0,0,0,0,None
632487,1,0,0,0,0,0,None
692246,0,0,0,0,0,1,None
659527,0,0,0,1,0,0,None
691148,0,0,0,0,0,1,None
661618,0,0,0,1,0,0,None
670016,0,0,0,1,0,0,None
670012,0,0,1,0,0,0,None
673452,0,0,1,0,0,0,None
690071,0,0,0,0,0,1,None
667525,0,0,0,1,0,0,None
691462,0,0,0,0,0,1,None
672748,1,0,0,0,0,0,None
634604,0,0,0,1,0,0,None
626635,1,0,0,0,0,0,None
665913,0,0,0,1,0,0,None
628446,1,0,0,0,0,0,None
635347,0,0,0,1,0,0,None
625030,1,0,0,0,0,0,None
690767,0,0,0,1,0,0,None
635612,0,0,1,0,0,0,None
635799,1,0,0,0,0,0,None
659395,0,0,1,0,0,0,None
672862,1,0,0,0,0,0,None
694998,0,0,0,0,0,1,None
